,,,,,,,,,,,,,,<- Call Option,,,Put Option ->,,,,,,,,,,,,,,
36,0,0,0,0,0,-8.72,-0.01,6,24,0.1,0,,0.01,28.84,SPY 01-Dec-25,720,0.1,34.99,,38.41,67.56,0,0,0,-0.996,0.0015,0.006,-0.0433,-0.0042,-8.72,-2.905
100,0,0,0,0,0,-9.545,-0.01,1,1,0.1,0,,0.01,32.45,SPY 01-Dec-25,725,0.1,39.99,,43.41,74.1,0,0,0,-0.9975,0.0011,0.0052,-0.0329,-0.0038,-9.545,-2.905
334,0,0,0,0,0,-10.2,-0.01,0,0,0.1,0,,0.01,35.61,SPY 01-Dec-25,730,0.1,45.41,,48.38,80.06,0,0,0,-0.9988,0.0006,0.0035,-0.0047,-0.0014,-10.2,-2.71
455,0,0,0,0,0,5.11,0,4,5,0.1,0,,0.01,39.66,SPY 01-Dec-25,735,0.1,50.41,,53.38,85.59,0,0,0,-0.9993,0.0004,0.0009,0,0,5.11,-2.73
402,0,0,0,0,0,4.97,0,0,0,0.1,0,,0.01,41.75,SPY 01-Dec-25,740,0.1,55.41,,58.38,91.09,0,0,0,-0.9997,0.0003,0,0,0,4.97,-2.71
424,0,0,0,0,0,5.645,0,2,8,0.1,0,,0.01,44.99,SPY 01-Dec-25,745,0.1,60.41,,63.38,96.54,0,0,0,-1,0.0001,0,0,0,5.645,-2.71
576,0,0,0,0,0,5.79,0,0,0,0.1,0,,0.01,47.92,SPY 01-Dec-25,750,0.1,65.41,,68.38,101.95,0,0,0,-1,0.0001,0,0,0,5.79,-2.71
459,0,0,0,0,0,6.1,0,0,0,0.1,0,,0.01,51.46,SPY 01-Dec-25,755,0.1,70.41,,73.04,102.27,0,0,0,-1,0,0,0,0,6.1,-2.88
317,0,0,0,0,0,7.215,0,0,0,0.1,0,,0.01,54.67,SPY 01-Dec-25,760,0.1,75.41,,78.38,112.67,0,0,0,-1,0,0,0,0,7.215,-2.715
574,0,0,0,0,0,6.735,0,0,0,0.1,0,,0.01,57.2,SPY 01-Dec-25,765,0.1,80.41,,83.38,117.98,0,0,0,-1,0,0,0,0,6.735,-2.715
198,0,0,0,0,0,7.645,0,0,0,0.1,0,,0.01,60.58,SPY 01-Dec-25,770,0.1,85.41,,88.38,123.25,0,0,0,-1,0,0,0,0,7.645,-2.735
192,0,0,0,0,0,8.05,0,0,0,0.1,0,,0.01,64.15,SPY 01-Dec-25,775,0.1,90.41,,93.38,128.48,0,0,0,-1,0,0,0,0,8.05,-2.71
294,0,0,0,0,0,9.315,0,0,0,0.1,0,,0.01,67.54,SPY 01-Dec-25,780,0.1,95.41,,98.38,133.68,0,0,0,-1,0,0,0,0,9.315,-2.735
0,0,0,0,0,0,9.06,0,0,0,0.1,0,,0.01,69.87,SPY 01-Dec-25,785,0.1,100.41,,103.38,138.84,0,0,0,-1,0,0,0,0,9.06,-2.73
0,0,0,0,0,0,9.365,0,0,0,0.1,0,,0.01,72.77,SPY 01-Dec-25,790,0.1,105.41,,108.38,143.99,0,0,0,-1,0,0,0,0,9.365,-2.735
572,0,0,0,0,0,10.26,0,5,123,0.1,0,,0.01,76.61,SPY 01-Dec-25,795,0.1,110.41,,113.38,149.09,0,0,0,-1,0,0,0,0,10.26,-2.735
2,0,0,0,0,0,11.265,0,0,0,0.1,0,,0.01,80.46,SPY 01-Dec-25,800,0.1,115.41,,118.04,146.1,0,0,0,-1,0,0,0,0,11.265,-2.905
